number,title,country
263176,University of Trinidad & Tobago (UTT),TT
263175,GUYACOM,GF
263174,NOVANET,EC
44709,GNS-ASN,IL
52833,GLOBOTECH INFORMATICA TECNOLOGIA COMUNICAO e HARDW,BR
34607,SKEKRAFT,SE
49445,UKRGAZ-ENERGO UKRDC LTD,UA
6261,VISINET - NetTelcos,US
12833,GIGAPIX GigaPix - Portuguese Internet eXchange,PT
12831,TASK-AS,PL
12830,INFRA-MAIN-AS Munich,DE
12837,OLDBANK-NET Oldbank network,UA
12836,POISK,RU
12835,INFOTN-AS,IT
12834,Denmark,DK
8201,EVONET,BE
47677,EUROCHEM-AS,RU
12839,ESI-AS,IT
12838,EDPNET,BE
8540,HAPPYNET-AS,AT
47676,GHU-AS,SI
200044,STACK_CORP-AS,RU
23518,ICANN - ICANN,US
135462,IDNIC-SHOPEE-AS-ID PT Shopee International Indonesia,ID
135461,IDNIC-PELINDO1-AS-ID PT Pelabuhan Indonesia I (Persero),ID
52971,MICKS TELECOM EIRELI,BR
50419,EXASTACK,GB
200047,LIVEOPS,GB
50413,MAGNUM-AS,RO
50412,"AES-AS Castlewood House, 77-91 New Oxford Street",GB
50411,ITVMEDIA,PL
50410,HAC-AS,HR
50417,WKEY-CORE-AS,IT
47679,STREAMNET,LV
50415,IBBHOLDINGAG-AS,CH
135466,IDNIC-PHINISIDATA-AS-ID PT Phinisi Global Data,ID
55629,TMON-AS-KR SOON CHUN HYANG UNIVERSITY,KR
47678,SUNLINE-AS,UA
16887,AETHERNETSANANTONIO - Aethernet LLC,US
60455,ABC,UA
55622,CNUE-AS-KR CNUE,KR
55621,JNUE-AS-KR Jeonju National University Of Education,KR
200043,CESENA-NET-SRL,IT
55627,DONGDUK-AS-KR Dongduk Womens University,KR
27372,UNCOMMON-TECHNOLOGY-INC-3 - Uncommon Technology Incorporated,US
55625,CWUNET-AS-KR Chungwoon University,KR
55624,DAELIM-AS-KR DAELIM,KR
52811,-Reserved AS-,ZZ
52810,Tribalnet Informatica Ltda.,BR
52813,Mosaico Telecom & Clinitec,BR
52812,WRLINK TELECOM,BR
